text,player_id,role,message_num,message_irrelevant,time_stamp,trial_id
"Okay, in my red box I have a shape that has like a big rectangle on the top and then it has on the bottom a smaller rectangle that's like on a diagonal.",1,describer,1,NA,NA,1
Got it.,2,matcher,2,NA,NA,1
"My blue one, it kind of looks like a bird with its wings spread out.",1,describer,1,NA,NA,2
It has two triangles on the left and right.,1,describer,2,NA,NA,2
Got it.,2,matcher,3,NA,NA,2
Awesome.,1,describer,4,NA,NA,2
"And then on my green square, I have...",1,describer,1,NA,NA,3
"You got this, you got this, you got this.",2,matcher,2,NA,NA,3
"So the shape, it kind of looks like a running dog, maybe.",1,describer,3,NA,NA,3
"It has a big rectangle in the middle, and then like...",1,describer,4,NA,NA,3
"Oh, what kind of shape is that?",2,matcher,5,NA,NA,3
um is there like a square for a face and like a triangle for an ear,2,matcher,6,NA,NA,3
yes there's like a um parallelogram it was like a foot a back foot,1,describer,7,NA,NA,3
um got it,2,matcher,8,NA,NA,3
okay wow nice,1,describer,9,NA,NA,3
do i just put these on the side,2,matcher,10,TRUE,NA,3
you can just put them,1,describer,11,TRUE,NA,3
Got it.,2,matcher,12,TRUE,NA,3
"Okay, so in my red square, I have a shape that has, it looks kind of like a fox with its nose in the air.",1,describer,1,NA,NA,4
It has like a diamond as a tail sticking out.,1,describer,2,NA,NA,4
Got it.,2,matcher,3,NA,NA,4
"In the blue square, it is, I mean, they're all kind of animal shaped, but in the, its body is like a big rectangle and then it has a small,",1,describer,1,NA,NA,5
"a square as a head, and then a diamond, a triangle as an ear.",1,describer,2,NA,NA,5
"If it was a dog, it would be facing to the left.",1,describer,3,NA,NA,5
Is that the one we did before?,2,matcher,4,NA,NA,5
"Oh, that may have been the one that you thought.",1,describer,5,NA,NA,5
Say it again.,2,matcher,6,NA,NA,5
That may have been the one that you thought it was.,1,describer,7,NA,NA,5
"Okay, so the body is like a big rectangle, and then it has a smaller square that's like at a diagonal towards the left, and it has a triangle as like if it was an ear.",1,describer,8,NA,NA,5
Got it.,2,matcher,9,NA,NA,5
"Yeah, you're right.",1,describer,10,NA,NA,5
That's what I thought it was.,1,describer,11,NA,NA,5
"And then in the green square, it almost looks like a T-Rex with a tail.",1,describer,1,NA,NA,6
I think I know what you're talking about.,2,matcher,2,NA,NA,6
It has like a rectangle.,1,describer,3,NA,NA,6
It has...,1,describer,4,NA,NA,6
"like a triangle as a one foot, and then it has part of a triangle sticking out at the top, and then the two, like a rectangle.",1,describer,5,NA,NA,6
Okay.,2,matcher,6,NA,NA,6
You're doing good.,1,describer,7,NA,NA,6
These are good directions.,2,matcher,8,NA,NA,6
"So the next set, the red one, it looks... To me, it looks like an old man with a...",1,describer,1,NA,NA,7
triangle hat like um so there's oh the triangle is pointing up to the it's a big triangle and it's pointing up to the right upper hand corner,1,describer,2,NA,NA,7
"And then there's almost like a triangle and a square that make, like, if a triangle is pointing down, it makes kind of like a chin.",1,describer,3,NA,NA,7
And then it almost looks like the square in the middle is.,1,describer,4,NA,NA,7
"Oh, is it just like the face, not the body?",2,matcher,5,NA,NA,7
"Yeah, it looks like a face.",1,describer,6,NA,NA,7
I got it.,2,matcher,7,NA,NA,7
