text,player_id,role,message_num,message_irrelevant,time_stamp,trial_id
Object is symmetrical on the horizontal axis,1,describer,1,FALSE,NA,1
No white holes in the object,1,describer,2,FALSE,NA,1
Right side is one large shape.,2,describer,1,FALSE,NA,2
Left side has white hole,2,describer,2,FALSE,NA,2
Right side is one large shape.,2,describer,1,FALSE,NA,3
Left side has sharp teeth,2,describer,2,FALSE,NA,3
Right side looks like a spool for wire. Has 4 sharp ends,2,describer,1,FALSE,NA,4
Left side has a white hole,2,describer,2,FALSE,NA,4
Left side looks like a cup. Right side is one big lump,1,describer,1,FALSE,NA,5
Right side looks like a jar to me. Has 4 sharp ends,2,describer,1,FALSE,NA,6
Left side also looks like a jar.,2,describer,2,FALSE,NA,6
Right side looks like a jar.,2,describer,1,FALSE,NA,7
Left side has a white hole.,2,describer,2,FALSE,NA,7
"Left side sort of has no teeth, right side has 6 spikes total",1,describer,1,FALSE,NA,8
Right side has teeth. 5 sharp points,2,describer,1,FALSE,NA,9
Left side is an oblong shape. Has a triangle pointing at the right side.,2,describer,2,FALSE,NA,9
Right side is one big shape or lump.,2,describer,1,FALSE,NA,10
Left side is a weird oblong shape,2,describer,2,FALSE,NA,10
"Right side has the teeth like a tractor, left side is symmetrical across horizontal axis",1,describer,1,FALSE,NA,11
"Right side looks somewhat like a cup/jar. Left side is oblong shape, no hole",1,describer,1,FALSE,NA,12
"Right side sort of looks like teeth, left side has a white hole in it",1,describer,1,FALSE,NA,13
Like the teeth of a tractor,1,describer,2,FALSE,NA,13
Right side looks like a jar.,2,describer,1,FALSE,NA,14
Left side has 2 teeth at the bottom,2,describer,2,FALSE,NA,14
"Right side has 4 spikes, left side is not symmetrical, has teeth",1,describer,1,FALSE,NA,15
"Right side has 5 teeth, left side is shape with no hole, also has teeth",1,describer,1,FALSE,NA,16
"Left side looks like a cup, right side has 4 sharp points",1,describer,1,FALSE,NA,17
Right side looks like a jar.,2,describer,1,FALSE,NA,18
Left side has teeth,2,describer,2,FALSE,NA,18
Right side has teeth. 5 sharp points,2,describer,1,FALSE,NA,19
Left side also has teeth. No white hole.,2,describer,2,FALSE,NA,19
Right side has teeth,1,describer,1,FALSE,NA,20
Left side no hole,1,describer,2,FALSE,NA,20
Right side looks like a jar.,2,describer,1,FALSE,NA,21
Left side shape has a white hole.,2,describer,2,FALSE,NA,21
Right side one lump,1,describer,1,FALSE,NA,22
Left side looks like cup,1,describer,2,FALSE,NA,22
Right side has 4 spikes. Looks like a wire spool.,2,describer,1,FALSE,NA,23
Left side has two spikes.,2,describer,2,FALSE,NA,23
Right side one lump,1,describer,1,FALSE,NA,24
Left side no teeth/spikes,1,describer,2,FALSE,NA,24
Right side has 4 spikes. Looks like a wire spool.,2,describer,1,FALSE,NA,25
Left side shape has a white hole.,2,describer,2,FALSE,NA,25
Right side like wire spool,1,describer,1,FALSE,NA,26
Left side has teeth on the bottom,1,describer,2,FALSE,NA,26
Right side looks like jar.,2,describer,1,FALSE,NA,27
Left side is weird oblong shape with no hole.,2,describer,2,FALSE,NA,27
Right side is one lump,1,describer,1,FALSE,NA,28
Left side has the white hole,1,describer,2,FALSE,NA,28
Right side has teeth. 5 sharp points.,2,describer,1,FALSE,NA,29
Left side has the white hole in it.,2,describer,2,FALSE,NA,29
Right side is one lump,1,describer,1,FALSE,NA,30
Left side has teeth on bottom,1,describer,2,FALSE,NA,30
Right side looks like jar.,2,describer,1,FALSE,NA,31
Left side looks like jar/cup,2,describer,2,FALSE,NA,31
Right side has the 5 teeth like a tractor. Left side does not have the teeth at the bottom,1,describer,1,FALSE,NA,32
Right side has 5 teeth. Left side does not have a hole,1,describer,1,FALSE,NA,33
Right side looks like wire spool. 4 spikes,2,describer,1,FALSE,NA,34
Left side looks like cup/jar,2,describer,2,FALSE,NA,34
Right side has 5 teeth,1,describer,1,FALSE,NA,35
Left side does not have a hole,1,describer,2,FALSE,NA,35
Right side is wire spool,1,describer,1,FALSE,NA,36
"Left side does not have the 2 teeth at the bottom, it has the other spikes",1,describer,2,FALSE,NA,36
Right side looks like teeth. 5 spikes,2,describer,1,FALSE,NA,37
Left side has two spikes at bottom,2,describer,2,FALSE,NA,37
