text,player_id,role,message_num,message_irrelevant,time_stamp,trial_id
Alors euh euh le le bonhomme qui tient euh quelque chose euh dans sa main qui a l’air assis j’sais pas où il est placé ? euh,1,matcher,1,NA,NA,1
Il est assis et pis euh,2,describer,2,NA,NA,1
Il est assis,1,matcher,3,NA,NA,1
Il a un espèce comme un espèce de triangle qui,2,describer,4,NA,NA,1
Voilà un triangle qui part vers le bas,1,matcher,5,NA,NA,1
Ouais ben la rangée du haut le deuxième depuis la droite euh depuis la gauche.,2,describer,6,NA,NA,1
Depuis la gauche d’accord.,1,matcher,7,NA,NA,1
Ensuite euh un bonhomme qui a une jambe euh tendue et l’autre un peu plus élevée qui a l’air de faire un exercice de gym ?,1,matcher,1,NA,NA,2
Ouais euh à la droite de celui que tu viens de dire.,2,describer,2,NA,NA,2
"D’accord. Après un bonhomme qui a l’air de de courir, un peu.",1,matcher,1,NA,NA,3
Euh,2,describer,2,NA,NA,3
Qui a l’air assez pressé,1,matcher,3,NA,NA,3
Ah qu’a les ouais en dessous de en dessous du premier en fait.,2,describer,1,NA,NA,4
En dessous du premier de celui avec le ptit triangle ?,1,matcher,2,NA,NA,4
Ouais,2,describer,3,NA,NA,4
D’accord,1,matcher,4,NA,NA,4
Qui a les jambes super écartées tu dis hein ?,2,describer,5,NA,NA,4
Ouais voilà exactement.,1,matcher,6,NA,NA,4
Euh ensuite un bonhomme qui a l’air de de marcher assez tranquillement euh,1,matcher,1,NA,NA,5
Avec la tête en bas ou euh ?,2,describer,2,NA,NA,5
Euh avec la tête euh normale.,1,matcher,3,NA,NA,5
Ouais. Ben euh à la droite de de celui qui court.,2,describer,4,NA,NA,5
A la droite de celui qui court d’accord.,1,matcher,5,NA,NA,5
Euh après ben justement un bonhomme qui marche mais avec la tête en bas,1,matcher,1,NA,NA,6
Tout en haut à gauche.,2,describer,2,NA,NA,6
Tout en haut. Euh celui qui a euh une jambe un peu en haut et une jambe en bas ? pis qui est un peu couché,1,matcher,1,NA,NA,7
Il est un peu penché en arrière ?,2,describer,2,NA,NA,7
Un peu penché en arrière voilà,1,matcher,3,NA,NA,7
Tout en bas à droite.,2,describer,1,NA,NA,8
Tout en bas d’accord.,1,matcher,2,NA,NA,8
"Et pis après euh celui qui a l’air d’avoir les mains en, tout en avant. Enfin non plutôt y’en a un qui a l’air d’être plutôt sur les genoux.",1,matcher,7,NA,NA,4
Ça fait comme un espèce de grand triangle qui vient en avant sur la droite ?,2,describer,8,NA,NA,4
Voilà ouais ça fait un triangle,1,matcher,9,NA,NA,4
Ouais il est tout en bas à gauche,2,describer,10,NA,NA,4
D’accord. Et pis ben le dernier tout en haut à droite ?,1,matcher,4,NA,NA,7
C’est celui qui a un peu les bras écartés et pis euh la jambe droite par terre pis la jambe gauche un peu plus haut ?,2,describer,5,NA,NA,7
Voilà ouais,1,matcher,6,NA,NA,7
Ouais.,2,describer,7,NA,NA,7
Alors mmh Celui qui a les deux jambes euh en haut relevées pis qui est sur le ventre qui a les deux jambes en haut,1,matcher,1,NA,NA,9
Ouais,2,describer,2,NA,NA,9
en forme de triangle,1,matcher,3,NA,NA,9
Sur il est sur la rangée du haut le deuxième depuis la gauche.,2,describer,4,NA,NA,9
D’accord.,1,matcher,5,NA,NA,9
Non le deuxième depuis la droite excuse.,2,describer,6,NA,NA,9
Ah ouais d’accord.,1,matcher,7,NA,NA,9
Ensuite euh celui qui a la tête un peu penchée en arrière et pis euh une jambe en haut et un bras en haut enfin qu’est…,1,matcher,1,NA,NA,10
Une jambe en haut et et les deux bras en haut ?,2,describer,2,NA,NA,10
Ouais les deux bras en haut ouais,1,matcher,3,NA,NA,10
Ouais tout en haut à gauche.,2,describer,4,NA,NA,10
Tout en haut d’accord.,1,matcher,5,NA,NA,10
Eum ensuite celui qui est entrain de marcher pis qui a le pied un pied en avant et pis l’autre en arrière pis ça fait deux triangles,1,matcher,1,NA,NA,11
Ouais pis on voit qu’il est un peu élevé le pied,2,describer,2,NA,NA,11
Voilà ouais.,1,matcher,3,NA,NA,11
Il est entre les deux.,2,describer,4,NA,NA,11
