roundID,text,playerID,director_msg,chit_chat
01JH6F8CN2AXMG2WPFS39QD9MX,****,01JH6F574WP0SZKEN1DPSE22J9,TRUE,TRUE
01JH6F8CQQN0FKAVB6FNY5YC11,****,01JH6F574WP0SZKEN1DPSE22J9,TRUE,TRUE
01JH6EFPKEFRFAM81ZS6XJ3FGB,"2 pointy tops one left and right, smaller black bottom that looks like it has steps",01JH6E9N7GMFHE539DP5PKP7GT,TRUE,FALSE
01JH6EWBG651Y0T1CM8ATJ62G1,pillar like shape? on left,01JH6EAX5D301ENHVSXMDYQFXD,FALSE,FALSE
01JH6F1CMYCDPFKAFRDYGXN54S,"Triangle, sorry.",01JH6ERVZCNV0ZX1CZCZJPRDM6,FALSE,FALSE
01JH6FM01R9BA292PR6DCZSJ8R,2 shapes middle,01JH6FEQ42SHBZQ2JTT8M0D7AY,TRUE,FALSE
01JH6EFPMYJAS6E0WVD3NFZHW1,"2 top triangles, larger black bottom",01JH6EAE9YQ1PSVJ4DGM6PTES5,TRUE,FALSE
01JH6EWBH0MV8Z8FW5B37MYSTF,2 traingles and rectangle on top right,01JH6EAX5D301ENHVSXMDYQFXD,TRUE,FALSE
01JH6EWBD7W6Z5SKSW3A466XZB,2 trianges on top with a rectangle to the right of them,01JH6EAX5D301ENHVSXMDYQFXD,TRUE,FALSE
01JH6F8CTH1BVG41YPP1MQTNE2,2 triangle legs and split top,01JH6F574WP0SZKEN1DPSE22J9,TRUE,FALSE
01JH6F8CWY5GGQEY5AJSKP0SC5,2 triangle legs square top,01JH6F574WP0SZKEN1DPSE22J9,TRUE,FALSE
01JH6EQTYMM739D1M9D2YG0HJ4,"anybody home""",01JH6ECDF9X659VR9CMKP04EW8,FALSE,FALSE
01JH6F8CZ761RQM5FSP1HCVFR7,"2 triangle legs, flat trop",01JH6F574WP0SZKEN1DPSE22J9,TRUE,FALSE
01JH6EWBCCDQ9WE111ZCNH6GN3,arrow?,01JH6EDGQKVEDJ8G0G9B8PJAAV,FALSE,FALSE
01JH6EWBE7KAZAS98WGCPQZ3K8,2 triangles,01JH6EDGQKVEDJ8G0G9B8PJAAV,TRUE,FALSE
01JH6EFPMQG86QRHWMZKJA78MM,2 triangles (left and right) biggest amount of black going to the right,01JH6E9N7GMFHE539DP5PKP7GT,TRUE,FALSE
01JH6EFPN0V2MDJ2WKAV7D0W0G,2 triangles 2 legs,01JH6E9N7GMFHE539DP5PKP7GT,TRUE,FALSE
01JH6EFPMSH027K1JRKHM6SKZ0,"2 triangles at top, most of the black going to the right",01JH6E9N7GMFHE539DP5PKP7GT,TRUE,FALSE
01JH6FKZWY5T57BBERX20AG4CZ,that was right lol,01JH6FEQ42SHBZQ2JTT8M0D7AY,FALSE,FALSE
01JH6EFPMJ8F0WVEMT5XKX1WKH,"2 triangles left and right, 2 legs",01JH6EAE9YQ1PSVJ4DGM6PTES5,TRUE,FALSE
01JH6EFPM3KJ1EZ1B7KAYNRMMC,"2 triangles on both sides, 1 black leg at bottom",01JH6EAE9YQ1PSVJ4DGM6PTES5,TRUE,FALSE
01JH6EWBG651Y0T1CM8ATJ62G1,2 triangles on top,01JH6EDGQKVEDJ8G0G9B8PJAAV,TRUE,FALSE
01JH6EFPKFYJHXNXWS3M2CB6BM,"2 triangles up top (left and right) not stacked, massive black bottom",01JH6E9N7GMFHE539DP5PKP7GT,TRUE,FALSE
01JH6EFPMNAZDEZDGVX5JXZT2S,2 triangles up top and 2 legs (most amount of black),01JH6E9N7GMFHE539DP5PKP7GT,TRUE,FALSE
01JH6EFPKS53ENCSNP1ZE19XY6,"2 triangles, black going to the right",01JH6EAE9YQ1PSVJ4DGM6PTES5,TRUE,FALSE
01JH6EFPKD474EAPE6H67Z1FSR,"2 triangular shapes on top, larger black bottom",01JH6EAE9YQ1PSVJ4DGM6PTES5,TRUE,FALSE
01JH6EFPKFYJHXNXWS2PXRH80H,"2 triangular shapes up top, with one black leg at the bottom",01JH6EAE9YQ1PSVJ4DGM6PTES5,TRUE,FALSE
01JH6EWBC4Q6KJ3SP5EXYVGW6X,3 diamond like shapes on the left with an arrow on the right side pointing right,01JH6EAX5D301ENHVSXMDYQFXD,TRUE,FALSE
01JH6EWBBSABK3BGN1XGV4J7H3,3 traingkes on top with rectangle top right,01JH6EAX5D301ENHVSXMDYQFXD,TRUE,FALSE
01JH6EWBCRV1V6Y2VFJFW468F0,3 trangles on top and bottom very spiky,01JH6EAX5D301ENHVSXMDYQFXD,TRUE,FALSE
01JH6EWBC7MBCF0KTQM6FP1WTV,3 triangles beside rectangle,01JH6EDGQKVEDJ8G0G9B8PJAAV,TRUE,FALSE
01JH6EWBHSBZ51MDS5C3CTPDPS,3 triangles on top,01JH6EDGQKVEDJ8G0G9B8PJAAV,TRUE,FALSE
01JH6EFPKGJYHBZJ9Q3D2Q1880,"3 triangular shapes up top, larger black bottom",01JH6EAE9YQ1PSVJ4DGM6PTES5,TRUE,FALSE
01JH6F1CBXZ83BJGYQWAEFRGHY,A big space.,01JH6ERVZCNV0ZX1CZCZJPRDM6,TRUE,FALSE
01JH6EPJZZ6E65A5WPHZDJPVXW,a triangle on a block like the top of a chimnet,01JH6EESMW57FWEFHKRVJSTWEF,TRUE,FALSE
01JH6EWBC1SZXQMZNJ1GHQ42GR,hollow?,01JH6EAX5D301ENHVSXMDYQFXD,FALSE,FALSE
01JH6EM4XZ80E3EA6Q41SB040K,a triangle pointing left on left side,01JH6E73Q9S1WSVRTG8D0NXV7R,TRUE,FALSE
01JH6EM4XC55Q4YZYKREJASMQR,ahh i see it now,01JH6E73Q9S1WSVRTG8D0NXV7R,TRUE,TRUE
01JH6EWBEEKW7VSSNVTWB0JTG4,all triangles on top,01JH6EDGQKVEDJ8G0G9B8PJAAV,TRUE,FALSE
01JH6EWBCCDQ9WE111ZCNH6GN3,and a large arrow pointing into the pillar,01JH6EAX5D301ENHVSXMDYQFXD,TRUE,FALSE
01JH6EJZVKDH25E6ZTBA5KFZET,"bowl. or ""C""?",01JH6EEWQ0Q2J1Q0MMCY4WDQ1Z,FALSE,FALSE
01JH6EWBESD6CQBW2NK2RW0BS0,and an arrow pointing to the left,01JH6EAX5D301ENHVSXMDYQFXD,TRUE,FALSE
01JH6EWBA3AQWD35118NG5V2YH,and has two triangles on top with a rectange to the right of those triangles,01JH6EAX5D301ENHVSXMDYQFXD,TRUE,FALSE
01JH6FM06BRCJ424SZ7M37Z4F3,antenas on left,01JH6EZPN85KA2D8RXSWEGW94Z,TRUE,FALSE
01JH6EQTYSYRJ655P4NC960Y3B,anyone there?,01JH6ECDF9X659VR9CMKP04EW8,TRUE,TRUE
01JH6FKZSEQR1F2ZVR2SNKB8D8,oh lol,01JH6EZPN85KA2D8RXSWEGW94Z,FALSE,FALSE
01JH6EWBK5WK72GW6737H7VB2M,anyway arrow no diamonds lol,01JH6EDGQKVEDJ8G0G9B8PJAAV,TRUE,FALSE
01JH6F1CFYPMEM76P8HAN4GRCB,this game is kind of fun XD,01JH6END8AY64F01KZ0D9HPJTX,FALSE,FALSE
01JH6EWBDG0BCTCWMRF4BHKX4G,arrow,01JH6EAX5D301ENHVSXMDYQFXD,TRUE,FALSE
01JH6EWBESD6CQBW2NK2RW0BS0,arrow,01JH6EAX5D301ENHVSXMDYQFXD,TRUE,FALSE
01JH6EWBEVZE9X3DE91180TDCF,arrow,01JH6EAX5D301ENHVSXMDYQFXD,TRUE,FALSE
01JH6EWBFBV0TA38495R5WT3KN,arrow,01JH6EAX5D301ENHVSXMDYQFXD,TRUE,FALSE
01JH6EWBENWBPA9K4WZ0EMECSV,arrow and diamonds,01JH6EAX5D301ENHVSXMDYQFXD,TRUE,FALSE
01JH6F1CEB1FSQG22ZXSAST438,Cool! :-),01JH6ERVZCNV0ZX1CZCZJPRDM6,FALSE,FALSE
01JH6F1CJNH8WCR6NS91Q13ZBJ,Arrow on bottom eft hand side pointing left.,01JH6ERVZCNV0ZX1CZCZJPRDM6,TRUE,FALSE
01JH6F1CC2X860PZXX3X666N5Z,"Arrow on its own on the very left hand side, pointing right.",01JH6ERVZCNV0ZX1CZCZJPRDM6,TRUE,FALSE
01JH6EWBC1SZXQMZNJ1GHQ42GR,arrow on right,01JH6EDGQKVEDJ8G0G9B8PJAAV,TRUE,FALSE
01JH6F1CFKDMZPAJGMA5RT4DD6,"Arrow on the left pointing up, with diamond underneath it.",01JH6ERVZCNV0ZX1CZCZJPRDM6,TRUE,FALSE
01JH6F1CEB1FSQG22ZXSAST438,With almost a rabbit shape to the image?,01JH6ERVZCNV0ZX1CZCZJPRDM6,FALSE,FALSE
01JH6F1CGB9AQK1BBX385R3X51,arrow pointing left,01JH6END8AY64F01KZ0D9HPJTX,TRUE,FALSE
01JH6F1CMFMZNT4YHPEW2A2E0X,arrow pointing left in the middle,01JH6END8AY64F01KZ0D9HPJTX,TRUE,FALSE
01JH6F1CDYHTZS7G0N1MSQDCMN,arrow pointing left on the very right,01JH6END8AY64F01KZ0D9HPJTX,TRUE,FALSE
