condition_label,dataset_id,full_cite,short_cite,group_size,structure,language,game_id,room_num,stage_num,option_set,target,trial_num,rep_num,exclude,exclusion_reason,action_type,player_id,role,time_stamp,age,gender,text,message_number,message_irrelevant,choice_id
adult-child,leung2024_scaffolding,"Leung, A., Yurovsky, D., & Hawkins, R. D. (2024)...",Leung et al. (2024),2,thick,English,10,1,1,E1;unk1,E1,1,1,FALSE,,message,10_describer,describer,,8,unknown,one who looks like they're jumping in the air like this,1,FALSE,
adult-child,leung2024_scaffolding,"Leung, A., Yurovsky, D., & Hawkins, R. D. (2024)...",Leung et al. (2024),2,thick,English,10,1,1,E1;unk1,E1,1,1,FALSE,,selection,10_matcher,matcher,,8,unknown,,,,timed_out
adult-child,leung2024_scaffolding,"Leung, A., Yurovsky, D., & Hawkins, R. D. (2024)...",Leung et al. (2024),2,thick,English,10,1,1,H1;unk1,H1,2,1,FALSE,,message,10_describer,describer,,8,unknown,a person who looks like they're sitting down,1,FALSE,
adult-child,leung2024_scaffolding,"Leung, A., Yurovsky, D., & Hawkins, R. D. (2024)...",Leung et al. (2024),2,thick,English,10,1,1,H1;unk1,H1,2,1,FALSE,,selection,10_matcher,matcher,,8,unknown,,,,timed_out
adult-child,leung2024_scaffolding,"Leung, A., Yurovsky, D., & Hawkins, R. D. (2024)...",Leung et al. (2024),2,thick,English,10,1,1,D1;unk1,D1,3,1,FALSE,,message,10_describer,describer,,8,unknown,Person who looks like they're laying down with long legs sticking up in the air,1,FALSE,
adult-child,leung2024_scaffolding,"Leung, A., Yurovsky, D., & Hawkins, R. D. (2024)...",Leung et al. (2024),2,thick,English,10,1,1,D1;unk1,D1,3,1,FALSE,,selection,10_matcher,matcher,,8,unknown,,,,timed_out
adult-child,leung2024_scaffolding,"Leung, A., Yurovsky, D., & Hawkins, R. D. (2024)...",Leung et al. (2024),2,thick,English,10,1,1,C1;unk1,C1,4,1,FALSE,,message,10_describer,describer,,8,unknown,Person who looks like they're about to do a push-up,1,FALSE,
adult-child,leung2024_scaffolding,"Leung, A., Yurovsky, D., & Hawkins, R. D. (2024)...",Leung et al. (2024),2,thick,English,10,1,1,C1;unk1,C1,4,1,FALSE,,selection,10_matcher,matcher,,8,unknown,,,,timed_out
adult-child,leung2024_scaffolding,"Leung, A., Yurovsky, D., & Hawkins, R. D. (2024)...",Leung et al. (2024),2,thick,English,10,1,1,K1;unk1,K1,5,1,FALSE,,message,10_describer,describer,,8,unknown,Person who looks like they're sticking their bum out like this,1,FALSE,
adult-child,leung2024_scaffolding,"Leung, A., Yurovsky, D., & Hawkins, R. D. (2024)...",Leung et al. (2024),2,thick,English,10,1,1,K1;unk1,K1,5,1,FALSE,,selection,10_matcher,matcher,,8,unknown,,,,timed_out
