text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
"So this one is, it looks like a dude riding a, like an animal and the animal that the animal is facing to the left and the person's head is a square.",2,describer,1,FALSE,NA,1
and the the tail of the animal okay this one looks kind of like a bunny rabbit like two triangles on the top of his head and it's like the guy the bunny rabbit is like the bunny rabbit's body is a triangle,2,describer,2,FALSE,NA,1
"Okay, this one looks like a priest who has his hands out pointed to the left.",2,describer,1,FALSE,NA,2
His head is a square.,2,describer,1,FALSE,NA,3
"Okay, this one is like a bulkier priest and his like a little stubby arm pointing to the right and it's a triangle.",2,describer,2,FALSE,NA,3
"And his head is a square, and the foot...",2,describer,1,FALSE,NA,4
"Okay, this one looks like an animal.",2,describer,2,FALSE,NA,4
"His head is a parallelogram, and it's pointing to the left.",2,describer,1,FALSE,NA,5
It has two legs.,2,describer,2,FALSE,NA,5
"Okay, this one...",2,describer,3,FALSE,NA,5
This one looks like an upside down Y.,2,describer,1,FALSE,NA,6
And the top is a square.,2,describer,2,FALSE,NA,6
The bottom...,2,describer,3,FALSE,NA,6
"Okay, this one... Looks like... Just like...",2,describer,1,TRUE,NA,7
uh an oval blob with a square on top and like a tiny thing jutting out on the bottom right side um like looks like a like a like like the thick priest but like there's a little triangle,2,describer,2,TRUE,NA,7
"Okay, this one has a triangle for the base, but then at the bottom right corner of the triangle is another upside down triangle.",2,describer,1,FALSE,NA,8
And the top is a square.,2,describer,2,FALSE,NA,8
"And on the left and right side, there's like two more shapes jutting out.",2,describer,3,FALSE,NA,8
"Okay, this one looks like a scuba diver and the little flipper leg, the flipper feet are two triangles at the bottom and the scuba dive, yeah.",2,describer,1,FALSE,NA,9
"Okay, this one is like, it's very simple.",2,describer,1,FALSE,NA,10
It's just a parallelogram and then there's,2,describer,2,FALSE,NA,10
like a line coming down on the left side.,2,describer,3,FALSE,NA,10
"This one looks like, if you think of like a monk with like their robes, they're like, he's like standing and he's facing to the left and he's lifting one of his legs up.",2,describer,1,FALSE,NA,11
His head is a square.,2,describer,2,FALSE,NA,11
The feet are little triangles.,2,describer,3,FALSE,NA,11
"Another way to think of it is, oh, nice.",2,describer,4,FALSE,NA,11
"Okay, this one is just kind of like a line of shapes going from the top left to the bottom right.",2,describer,1,TRUE,NA,12
"It starts with like a triangle, then a trapezoid, then a parallelogram, and then a triangle.",2,describer,2,FALSE,NA,12
"This one reminds me of someone doing a handstand, like there's a square on the bottom.",2,describer,1,FALSE,NA,13
that I think is the head.,2,describer,2,FALSE,NA,13
And then the top is just a small triangle.,2,describer,3,FALSE,NA,13
"And then there's a big triangle at the bottom, at the very bottom.",2,describer,4,FALSE,NA,13
And the square is kind of like a quarter of the way up from the bottom of the picture.,2,describer,5,FALSE,NA,13
The top is like a tiny triangle.,2,describer,6,FALSE,NA,13
"Okay, this one reminds me of someone praying.",2,describer,1,FALSE,NA,14
The bottom is a parallelogram and they're kneeling towards the right.,2,describer,2,FALSE,NA,14
The bottom is a parallelogram.,2,describer,3,FALSE,NA,14
"Okay, this one is like a scorpion.",2,describer,1,FALSE,NA,15
It has like a square and then two triangle arms and a tail going down to the right.,2,describer,2,FALSE,NA,15
"The bottom right, like the tail part is a parallelogram.",2,describer,3,FALSE,NA,15
"And there's like, there's a triangle",2,describer,4,FALSE,NA,15
"at the top that has like two triangles next to it, kind of making three points, kind of like a crown.",2,describer,5,FALSE,NA,15
"This is someone sitting down, their feet are pointed towards the left and their head is tilted down a little bit.",2,describer,1,FALSE,NA,16
"Okay, this one is a rectangle slanted pointing from the top left to the bottom right.",2,describer,1,FALSE,NA,17
And then there's like shapes attached to it.,2,describer,2,FALSE,NA,17
So there's a triangle on like the bottom side.,2,describer,4,FALSE,NA,17
This one is a house and there's a rectangle on the right side sticking up.,2,describer,1,FALSE,NA,18
This one has a square on the top and then like two triangles pointed out from the sides,2,describer,1,FALSE,NA,19
but the triangle on the right is like detached from the main body and then the bottom is like a bunch of shapes.,2,describer,2,FALSE,NA,19
"Okay, this one looks like the animal from before, but its head is a triangle.",2,describer,1,FALSE,NA,20
And its front legs are bigger than the back legs.,2,describer,2,FALSE,NA,20
And it has a parallelogram tail.,2,describer,3,FALSE,NA,20
This one reminds me of an ostrich.,2,describer,1,FALSE,NA,21
"Its head is pointed to the right, and it has two triangle feet at the bottom.",2,describer,2,FALSE,NA,21
Looks like a swan or something.,2,describer,3,FALSE,NA,21
This one reminds me of a person dancing kind of.,2,describer,1,FALSE,NA,22
There's a rectangle at the base kind of going up and down.,2,describer,2,FALSE,NA,22
And then there's a triangle on the right.,2,describer,3,FALSE,NA,22
"And then on the left side of the rectangle is a square and two more triangles, like the person's arms.",2,describer,4,FALSE,NA,22
They're doing like a thingy.,2,describer,5,TRUE,NA,22
"This one is a symmetrical object, square on the top, looks like a spaceship on the bottom.",2,describer,1,FALSE,NA,23
"Okay, this one also symmetrical.",2,describer,1,FALSE,NA,24
This one is two diamonds on top of each other with a square on top.,2,describer,2,FALSE,NA,24
"Okay, this one is like the person praying.",2,describer,1,FALSE,NA,25
Oh.,1,matcher,2,TRUE,NA,25
Oops.,1,matcher,3,TRUE,NA,25
"Okay, this one, this one is, um, this one is a little complicated.",2,describer,1,FALSE,NA,26
There's a square on the top.,2,describer,2,FALSE,NA,26
Um.,2,describer,3,TRUE,NA,26
And then at the bottom there's a parallelogram on the right and then kind of like a hook shape on the left made by like a triangle and a rectangle.,2,describer,4,FALSE,NA,26
It reminds me of like a can opener at the bottom.,2,describer,5,FALSE,NA,26
"Okay, this is a house, but the rectangle is on the left side and there's an arrow at the top.",2,describer,1,FALSE,NA,27
"Okay, this one is there's a square at the top and then towards the right side and then a triangle on the left side upside down.",2,describer,1,FALSE,NA,28
And then there's like a big rectangle type thing slanted from the top right to the bottom left.,2,describer,2,FALSE,NA,28
"Okay, this one reminds me of a pillar or some type of tower.",2,describer,1,FALSE,NA,29
There's a rectangular base with like a triangle thing.,2,describer,2,FALSE,NA,29
"Oh, is that what it is?",1,matcher,3,FALSE,NA,29
"Hey, hey, hey, hey.",2,describer,4,TRUE,NA,29
This one is like a person with their arms up.,2,describer,1,FALSE,NA,30
"There's a triangle on the top and then two, the main body is a big parallelogram and they have their hands, their arms up.",2,describer,2,FALSE,NA,30
"Okay, this one looks like another person riding an animal.",2,describer,1,FALSE,NA,31
The animal is facing the left.,2,describer,2,FALSE,NA,31
The person has a square head.,2,describer,3,FALSE,NA,31
The animal has a triangle head and a triangle tail.,2,describer,4,FALSE,NA,31
"Okay, this one has a square at the top and then also a triangle at the top on the right side, which is kind of detached.",2,describer,1,FALSE,NA,32
