text,player_id,role,message_num,message_irrelevant,time_stamp,trial_id
"Alright, the first one is a very long basket.",21,describer,1,FALSE,NA,1
Mm-hmm.,1,matcher,2,FALSE,NA,1
It is rectangular in shape. It is a light tan color. It is weaved. That is about it for the description. I am facing it with the handle coming over the top.,21,describer,3,FALSE,NA,1
Is the handle right in the middle?,1,matcher,4,FALSE,NA,1
Yes.,21,describer,5,FALSE,NA,1
Okay.,1,matcher,6,FALSE,NA,1
I do not know; you probably have that one.,21,describer,7,FALSE,NA,1
"Yes, I have it.",1,matcher,8,FALSE,NA,1
Okay. Are you ready?,22,describer,1,FALSE,NA,2
Yes.,2,matcher,2,FALSE,NA,2
(Laughs) The first one is a long basket. It looks like a rectangle. It is probably the longest one in the picture. It is rectangular in shape.,22,describer,3,FALSE,NA,2
Okay.,2,matcher,4,FALSE,NA,2
Do you have it?,22,describer,5,FALSE,NA,2
Yes.,2,matcher,6,FALSE,NA,2
"Alright, hello. The first one is rectangular. It is a basket, and it is light brown. It is rectangular, but it is also oval-shaped, so it is very long.",23,describer,1,FALSE,NA,3
Rectangular and oval-shaped?,3,matcher,2,FALSE,NA,3
"Yes, it is very long in length.",23,describer,3,FALSE,NA,3
Can you see into the bottom?,3,matcher,4,FALSE,NA,3
The bottom?,23,describer,5,FALSE,NA,3
The bottom of the basket. Can you see the bottom of it?,3,matcher,6,FALSE,NA,3
"Oh, no, you cannot. Well, actually, yes, you can. I thought you meant—",23,describer,7,FALSE,NA,3
You can see—,3,matcher,8,FALSE,NA,3
"Yes, you can see the bottom of it.",23,describer,9,FALSE,NA,3
Okay.,3,matcher,10,FALSE,NA,3
"Alright. It has circular sides, but it is rectangular.",23,describer,11,FALSE,NA,3
"Okay, so that is number one?",3,matcher,12,FALSE,NA,3
"Okay, Parastoo, do you see the oblong, rectangular basket?",24,describer,1,FALSE,NA,4
"Yes, I do.",4,matcher,2,FALSE,NA,4
That is number one.,24,describer,3,FALSE,NA,4
"Okay. It has one handle, correct?",4,matcher,4,FALSE,NA,4
Yes.,24,describer,5,FALSE,NA,4
And it kind of looks like a laundry basket?,4,matcher,6,FALSE,NA,4
Yes.,24,describer,7,FALSE,NA,4
Okay.,4,matcher,8,FALSE,NA,4
"The first basket is longer than the rest, and it is shaped like a rectangle, except I do not remember what it is called. It is somewhat rectangular, but the top is somewhat circular.",25,describer,1,FALSE,NA,5
Does it have a handle?,5,matcher,2,FALSE,NA,5
Yes. I realize I am not making that very clear. (laughs),25,describer,3,FALSE,NA,5
Does it have one handle or two?,5,matcher,4,FALSE,NA,5
It has one handle. It is a long basket.,25,describer,5,FALSE,NA,5
"Ok, I understand.",5,matcher,6,FALSE,NA,5
"The first basket has a handle, and it is somewhat rectangular in shape. It is rather long.",26,describer,1,FALSE,NA,6
Does it have two handles?,6,matcher,2,FALSE,NA,6
"No, it has one handle.",26,describer,3,FALSE,NA,6
And it is rather long?,6,matcher,4,FALSE,NA,6
"Yes. It is the only, and the longest, basket with a handle.",26,describer,5,FALSE,NA,6
Okay.,6,matcher,6,FALSE,NA,6
"Basket—picture number one. It is a basket. It is long, with a handle and light in the middle. It is woven and brownish. You can see the far inside, and you can see the bottom, which is not woven but just a piece of wood.",27,describer,1,FALSE,NA,7
Mm-hmm.,7,matcher,2,FALSE,NA,7
"It is in a long, rectangular shape.",27,describer,3,FALSE,NA,7
Okay.,7,matcher,4,FALSE,NA,7
Do you have it?,27,describer,5,FALSE,NA,7
Yes.,7,matcher,6,FALSE,NA,7
"The handle is in the middle, correct?",27,describer,7,FALSE,NA,7
Mm-hmm.,7,matcher,8,FALSE,NA,7
"Alright, it's...",28,describer,1,FALSE,NA,8
Basket.,8,matcher,2,FALSE,NA,8
"Baskets, right?",28,describer,3,FALSE,NA,8
(laughs) Yes.,8,matcher,4,FALSE,NA,8
"It's a long basket, with a...",28,describer,5,FALSE,NA,8
"Is it wide, or...?",8,matcher,6,FALSE,NA,8
Yes.,28,describer,7,FALSE,NA,8
Is it really wide?,8,matcher,8,FALSE,NA,8
Mm... It is not circular. It is like a... what do you call that?,28,describer,9,FALSE,NA,8
A cup?,8,matcher,10,FALSE,NA,8
A rectangle?,28,describer,11,FALSE,NA,8
"Rectangle? Wide, yes. Is it, uh, like V-shaped, or not?",8,matcher,12,FALSE,NA,8
"No, you can see the bottom of it, and it has a handle on it.",28,describer,13,FALSE,NA,8
Okay. It makes a cone. And the next one?,8,matcher,14,FALSE,NA,8
"Okay, number one, it is wide and long. Um, what can I say? If you want, you can ask me questions.",29,describer,1,FALSE,NA,9
"Okay, does it have a handle?",9,matcher,2,FALSE,NA,9
"Yes, it has a handle, right in the middle.",29,describer,3,FALSE,NA,9
"Okay, in the middle. And is it narrow?",9,matcher,4,FALSE,NA,9
"It is narrow, yes.",29,describer,5,FALSE,NA,9
"Okay, I understand.",9,matcher,6,FALSE,NA,9
"Joanne, number one is a rectangle-shaped basket, and it has the handle in the middle.",30,describer,1,FALSE,NA,10
Does it have a lid? Does it have a lid?,10,matcher,2,FALSE,NA,10
A what?,30,describer,3,FALSE,NA,10
A lid.,10,matcher,4,FALSE,NA,10
No.,30,describer,5,FALSE,NA,10
"Okay, it's just the empty one with the handle across the middle and—",10,matcher,6,FALSE,NA,10
"Yes, yes.",30,describer,7,FALSE,NA,10
"Okay, I got it.",10,matcher,8,FALSE,NA,10
"We should go with number two here. Number two has a huge handle, and it is a very small basket. It has red, brown, and green weaving in it. The handle is huge and positioned right in the middle, facing towards me—I can see right through the handle.",21,describer,1,FALSE,NA,11
"Mm-hmm. It is a really small basket, like...",1,matcher,2,FALSE,NA,11
It is a very tiny basket compared to the handle.,21,describer,3,FALSE,NA,11
"Okay. Alright, I think I have that one.",1,matcher,4,FALSE,NA,11
"Okay. The second one has a very big handle and a very small basket in a pyramidal shape. It also has a really big, circular-looking handle.",22,describer,1,FALSE,NA,12
"A big, circular-looking handle. Alright.",2,matcher,2,FALSE,NA,12
"Yes, a big circular handle. It probably has the longest distance from the base of the basket to the handle.",22,describer,3,FALSE,NA,12
Okay.,2,matcher,4,FALSE,NA,12
Yes. Number two has a reddish color. It is not the triangle-shaped one; it is a really small basket. It contains reddish items and some green as well.,23,describer,1,FALSE,NA,13
Does it have a handle?,3,matcher,2,FALSE,NA,13
"Yes, it does, but it is not the triangle-shaped one.",23,describer,3,FALSE,NA,13
"I see. Okay. And does it have red, kind of, strips running through it?",3,matcher,4,FALSE,NA,13
"Yes, it does. It is small.",23,describer,5,FALSE,NA,13
Okay.,3,matcher,6,FALSE,NA,13
"But the loop is very big, I think.",23,describer,7,FALSE,NA,13
Okay. I understand.,3,matcher,8,FALSE,NA,13
"Okay, number two is probably the smallest out of all of them with the handle.",24,describer,1,FALSE,NA,14
Um...,4,matcher,2,FALSE,NA,14
"It looks like it is sort of cut in half, somehow.",24,describer,3,FALSE,NA,14
Is it a reddish color?,4,matcher,4,FALSE,NA,14
Yes.,24,describer,5,FALSE,NA,14
"Reddish brown, and does it have little red ribbons, like—",4,matcher,6,FALSE,NA,14
"Yes, interwoven in it.",24,describer,7,FALSE,NA,14
"Woven into it, right? Into it? Okay.",4,matcher,8,FALSE,NA,14
"Okay. The second one is not wide; it is rather small, but it has a really big, very high handle. It is woven together very tightly, unlike another basket that has large holes between the woven parts.",25,describer,1,FALSE,NA,15
"Hmm. Okay, so it is all—",5,matcher,2,FALSE,NA,15
And it has green.,25,describer,3,FALSE,NA,15
Is it a deep basket?,5,matcher,4,FALSE,NA,15
"It is not deep, and it has green in the handle.",25,describer,5,FALSE,NA,15
It is not—green in the handle?,5,matcher,6,FALSE,NA,15
Yes.,25,describer,7,FALSE,NA,15
Does it have a lid on it?,5,matcher,8,FALSE,NA,15
"No, it does not have a lid. It has brown woven material, with red woven into it, and green in part of the handle.",25,describer,9,FALSE,NA,15
"Oh, okay.",5,matcher,10,FALSE,NA,15
Okay?,25,describer,11,FALSE,NA,15
Yes.,5,matcher,12,FALSE,NA,15
"The second one looks somewhat colorful. It appears to have a little bit of green, reddish, and brown in it. It is not the one that is shaped like a diamond. Actually, skip that one. The third one— (both laugh)",26,describer,1,FALSE,NA,16
"Alright, what is the third one?",6,matcher,2,FALSE,NA,16
The one after it is a reddish color.,27,describer,1,FALSE,NA,17
Mm-hmm.,7,matcher,2,FALSE,NA,17
"It has a large, round handle. The handle is about double the size of the basket itself. The basket, again, is a woven type. It has different colors of red and white woven into each other.",27,describer,3,FALSE,NA,17
"Mm-hmm. I think I understand. Does the handle have a sort of green, like—",7,matcher,4,FALSE,NA,17
"Yes, it has a green background behind it. Yes, it does.",27,describer,5,FALSE,NA,17
Okay.,7,matcher,6,FALSE,NA,17
The next one is like a little basket with a big handle.,28,describer,1,FALSE,NA,18
Is it small?,8,matcher,2,FALSE,NA,18
Yes.,28,describer,3,FALSE,NA,18
Oh. And there's a—,8,matcher,4,FALSE,NA,18
—with a big loop.,28,describer,5,FALSE,NA,18
A big loop. Okay.,8,matcher,6,FALSE,NA,18
"Okay, the second one is small, and it has a big handle for its size. It is kind of like an orange.",29,describer,1,FALSE,NA,19
Uh…,9,matcher,2,FALSE,NA,19
But it is a dark orange with a bit of pink and green.,29,describer,3,FALSE,NA,19
"Okay, is there green on the handle or in the background?",9,matcher,4,FALSE,NA,19
"Yes, there is green. It is a darkish green, kind of.",29,describer,5,FALSE,NA,19
"Oh, okay, I understand.",9,matcher,6,FALSE,NA,19
Number two resembles an Easter basket.,30,describer,1,FALSE,NA,20
Okay.,10,matcher,2,FALSE,NA,20
Do you know which one I am referring to?,30,describer,3,FALSE,NA,20
Could you explain that a little more?,10,matcher,4,FALSE,NA,20
"It has pink elements—pink wood, I think. I am not sure what it is called, and it has a twisted handle.",30,describer,5,FALSE,NA,20
Is it—does it have larger holes than the others?,10,matcher,6,FALSE,NA,20
"No, it is like an Easter basket. Look closely at all the cards; this one has pink in the parts that are sewn together.",30,describer,7,FALSE,NA,20
Does it have green outlining somewhere?,10,matcher,8,FALSE,NA,20
"Yes, it does.",30,describer,9,FALSE,NA,20
Especially around the handles?,10,matcher,10,FALSE,NA,20
Yes.,30,describer,11,FALSE,NA,20
And does it have a squarish bottom?,10,matcher,12,FALSE,NA,20
"Yes, it does.",30,describer,13,FALSE,NA,20
"Okay, I understand.",10,matcher,14,FALSE,NA,20
"Number three is a large basket with another handle. It is the same color, but the weave is very wide, and there are a lot of spaces in it. The bottom appears to be black, and you can see right through it. It also has a large handle, although it is not particularly large in proportion to the basket. The overall appearance is very circular.",21,describer,1,FALSE,NA,21
"Alright, I have that one.",1,matcher,2,FALSE,NA,21
"The third one has criss-crossing weaves—well, they all have criss-crossing weaves, but this one probably has the most open space in between each.",22,describer,1,FALSE,NA,22
Alright. I understand.,2,matcher,2,FALSE,NA,22
It also has a circular handle.,22,describer,3,FALSE,NA,22
"Alright, I understand.",2,matcher,4,FALSE,NA,22
"Number three—yes. Number three is black and light brown. The black part is very small. You cannot see the bottom, but you can see the other side. Do you think you have it?",23,describer,1,FALSE,NA,23
Um...,3,matcher,2,FALSE,NA,23
"It is, um...",23,describer,3,FALSE,NA,23
Two things—(incoherent).,3,matcher,4,FALSE,NA,23
"The loop and the, um, the basket—",23,describer,5,FALSE,NA,23
Does it have a handle on it?,3,matcher,6,FALSE,NA,23
"Yes. Yes, it is about the same, approximately.",23,describer,7,FALSE,NA,23
About the same size?,3,matcher,8,FALSE,NA,23
Yes.,23,describer,9,FALSE,NA,23
Is there a cover on it?,3,matcher,10,FALSE,NA,23
No.,23,describer,11,FALSE,NA,23
No.,3,matcher,12,FALSE,NA,23
"No, it has black...",23,describer,13,FALSE,NA,23
"Black at the bottom, kind of?",3,matcher,14,FALSE,NA,23
"Yes, black at the bottom, and a little bit...",23,describer,15,FALSE,NA,23
