text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
2,1,describer,1,FALSE,NA,1
22,1,describer,2,FALSE,NA,1
clue?,2,matcher,1,FALSE,NA,2
:),3,describer,1,TRUE,NA,3
<3,4,describer,1,TRUE,NA,4
"14 more to go, we got this!",4,describer,1,TRUE,NA,5
2 bigger triangle poking out botom,1,describer,1,FALSE,NA,6
2 large triangle pointing down middle,1,describer,1,FALSE,NA,7
2 legs,5,describer,1,FALSE,NA,8
2 legs,5,describer,1,FALSE,NA,9
its cool,6,matcher,1,FALSE,NA,10
2 of them,2,describer,1,FALSE,NA,11
clue,2,matcher,1,FALSE,NA,12
2 spikes one square and two spikes again,7,describer,1,FALSE,NA,13
2 triangles 1 square,8,describer,1,FALSE,NA,14
2 triangles pointing down,1,describer,1,FALSE,NA,15
2 white triangles at the bottom,9,describer,1,FALSE,NA,16
3 triangle sort shapes on top of a weird shape,10,describer,1,FALSE,NA,17
3 triangles top,8,describer,1,FALSE,NA,18
4 distinct shapes put together,11,describer,1,FALSE,NA,19
4 spikes on left,12,describer,1,FALSE,NA,20
same hjere,6,matcher,1,FALSE,NA,21
4 spikes on left,12,describer,1,FALSE,NA,22
4 spikes on left,12,describer,1,FALSE,NA,23
4 spikes on left,11,describer,1,FALSE,NA,24
4 spikes on left,12,describer,1,FALSE,NA,25
?,13,matcher,1,FALSE,NA,26
4 spikes on left,12,describer,1,FALSE,NA,27
4 spikes on left,12,describer,1,FALSE,NA,28
4 spikes right,11,describer,1,FALSE,NA,29
5 more,4,describer,1,FALSE,NA,30
6 spikes on right,11,describer,1,FALSE,NA,31
clue,2,matcher,1,FALSE,NA,32
6 spikes on right,11,describer,1,FALSE,NA,33
8 more,4,describer,1,FALSE,NA,34
8 spikes,12,describer,1,FALSE,NA,35
hi,2,matcher,1,FALSE,NA,36
a b letter,12,describer,1,FALSE,NA,37
a b letter,12,describer,1,FALSE,NA,38
a big gap of white space. Not the a/b letter,11,describer,1,FALSE,NA,39
a blocked in letter M on top of a diamond with riangle below and leg sticking out to the right,14,describer,1,FALSE,NA,40
a boot on its side with spikes,6,describer,1,FALSE,NA,41
a chimney on top of a rectangle with a small rectangle on the left,14,describer,1,FALSE,NA,42
describe pls,15,matcher,1,FALSE,NA,43
a chimney on top of a rectangle with two legs below,14,describer,1,FALSE,NA,44
a crown on top of a tree,16,describer,1,FALSE,NA,45
a diamond on top of a table sitting on a tree,16,describer,1,FALSE,NA,46
anything?,14,matcher,1,FALSE,NA,47
a fat vase with a broken white piece on the top,17,describer,1,FALSE,NA,48
a letter m on its side at the bottom with a rectangle aboive and something that looks like a chumney on top,14,describer,1,FALSE,NA,49
a swan,7,describer,1,FALSE,NA,50
"ah, no worries",18,describer,1,TRUE,NA,51
all good haha,19,describer,1,TRUE,NA,52
also dog,20,describer,1,FALSE,NA,53
AMAZING,4,describer,1,TRUE,NA,54
an object that has a big space between its sides,11,describer,1,FALSE,NA,55
and a upside doen triangle hat,5,describer,1,FALSE,NA,56
ANGLE LEG TO RIGHT ON BOTTOM,21,describer,1,FALSE,NA,57
another flat top,22,describer,1,FALSE,NA,58
arrow,23,describer,1,FALSE,NA,59
?,13,matcher,1,FALSE,NA,60
arrow,7,describer,1,FALSE,NA,61
arrow,7,describer,1,FALSE,NA,62
"I think we're about at the end, so thanks for all of this! I hope you have a great night.",18,matcher,1,FALSE,NA,63
arrow,23,describer,1,FALSE,NA,64
arrow,23,describer,1,FALSE,NA,65
arrow,7,describer,1,FALSE,NA,66
arrow,23,describer,1,FALSE,NA,67
arrow,23,describer,1,FALSE,NA,68
arrow,7,describer,1,FALSE,NA,69
arrow,7,describer,1,FALSE,NA,70
arrow,7,describer,1,FALSE,NA,71
Does it look like an arrow to the left,24,matcher,1,FALSE,NA,72
Arrow both sides,25,describer,1,FALSE,NA,73
arrow both sides,24,describer,1,FALSE,NA,74
arrow down and up  with M in middle,2,describer,1,FALSE,NA,75
arrow facing both ways,24,describer,1,FALSE,NA,76
hello,26,matcher,1,FALSE,NA,77
arrow facing each other with white half square up side down,26,describer,1,FALSE,NA,78
arrow facing left,24,describer,1,FALSE,NA,79
not responding,13,matcher,1,FALSE,NA,80
arrow in white,2,describer,1,FALSE,NA,81
hi,26,matcher,2,FALSE,NA,75
clue,26,matcher,3,FALSE,NA,75
arrow left,24,describer,1,FALSE,NA,82
