text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
"Um, a person.",1,describer,1,NA,NA,1
She is holding something.,1,describer,2,NA,NA,1
Some a person swimming.,2,describer,1,NA,NA,2
"And his foot, one of his foot is up.",2,describer,2,NA,NA,2
A person that's walking away.,1,describer,1,NA,NA,3
"A person that's jumping, and that's turning.",2,describer,1,NA,NA,4
"A person that's kicking, one foot up, that's turning.",1,describer,1,NA,NA,5
A person walking.,2,describer,1,NA,NA,6
A person jumping.,1,describer,1,NA,NA,7
A person holding a upside down triangle.,2,describer,1,NA,NA,8
A person jumping and turning.,1,describer,1,NA,NA,9
A person walking.,2,describer,1,NA,NA,10
A person holding a upside down triangle.,1,describer,1,NA,NA,11
What?,2,matcher,2,NA,NA,11
A person holding a upside down triangle.,1,describer,3,NA,NA,11
A person swimming.,2,describer,1,NA,NA,12
A man walking.,3,describer,1,NA,NA,13
I don't know what it is.,3,describer,1,NA,NA,14
Stones.,3,describer,2,NA,NA,14
Stones rolling on the ground.,3,describer,3,NA,NA,14
The jumpy one.,3,describer,4,NA,NA,14
A person jumping.,3,describer,1,NA,NA,15
They are running at the same time.,3,describer,2,NA,NA,15
Running.,3,describer,3,NA,NA,15
It's that one.,3,matcher,1,NA,NA,16
Someone walking.,3,describer,1,NA,NA,17
Laying down.,3,matcher,1,NA,NA,18
Someone holding something?,3,matcher,2,NA,NA,18
Yes.,3,matcher,3,NA,NA,18
Someone lying.,3,describer,1,NA,NA,19
I don't know.,3,describer,2,NA,NA,19
A shark.,4,describer,1,NA,NA,20
I think it looks like a person.,4,describer,1,NA,NA,21
"Yeah, it kind of looks like a triangle,",4,describer,2,NA,NA,21
but it kind of looks like it's sitting down.,4,describer,3,NA,NA,21
And it has like a triangle face like this.,4,describer,4,NA,NA,21
This and this again.,4,describer,5,NA,NA,21
Walking.,5,describer,1,NA,NA,22
It's walking.,4,describer,1,NA,NA,23
Sit down.,5,describer,1,NA,NA,24
A shark.,4,describer,1,NA,NA,25
It is sitting down.,4,describer,1,NA,NA,26
Walking.,5,describer,1,NA,NA,27
It looks like somebody is doing like this.,4,describer,1,NA,NA,28
And there is one that looks like Jesus.,4,describer,2,NA,NA,28
It's bald.,5,describer,1,NA,NA,29
I don't know what shape this is.,6,describer,1,NA,NA,30
It kind of looks like a boat.,6,describer,2,NA,NA,30
It kind of looks like a boat.,6,describer,3,NA,NA,30
Because this is the part that you stand on.,6,describer,4,NA,NA,30
"You have a triangle boat here, and a square, and a triangle that's on the boat, and a little",6,describer,5,NA,NA,30
triangle piece coming out.,6,describer,6,NA,NA,30
I don't know.,7,matcher,7,NA,NA,30
This is all I can tell.,6,describer,8,NA,NA,30
I don't know.,7,matcher,9,NA,NA,30
The one in a boat is a boat.,7,describer,1,NA,NA,31
I think I see it.,6,matcher,2,NA,NA,31
A rocket ship.,6,describer,1,NA,NA,32
I don't see any in mine.,7,matcher,2,NA,NA,32
It's kind of looking like it has feet and it's walking.,6,describer,3,NA,NA,32
And it has a square on its head.,6,describer,4,NA,NA,32
She's looking down.,7,matcher,5,NA,NA,32
Yes.,6,describer,6,NA,NA,32
He's holding a square looking up.,7,describer,1,NA,NA,33
This one.,6,matcher,2,NA,NA,33
This one?,6,matcher,3,NA,NA,33
I see a mon-,6,describer,1,NA,NA,34
Something that looks like a monster eating a square.,6,describer,2,NA,NA,34
