text,player_id,role,message_num,message_irrelevant,time_stamp,trial_id
Mine looks like something walking away zzz,1,describer,1,NA,NA,1
Mine looks like a person running away zzz,2,describer,1,NA,NA,2
Yes mine just looks like they're-they're just walking so peacefully because they had a good day,1,describer,1,NA,NA,3
oh yeah,2,matcher,2,NA,NA,3
good job,2,matcher,3,NA,NA,3
And now my person is just walking down the street because they missed it,2,describer,1,NA,NA,4
My mine looks like a person that has their hands in their pocket and is walking away,1,describer,1,NA,NA,5
oh yeah!,2,matcher,2,NA,NA,5
good job!,1,describer,3,NA,NA,5
My person had a bad day,2,describer,1,NA,NA,6
good job,2,describer,2,NA,NA,6
My person looks like they're sad because somebody zzz,1,describer,1,NA,NA,7
Oh maybe they're looking on the ground for another one maybe they're gonna see,2,matcher,2,NA,NA,7
My person is looking for a rocket to play pinecone and kick on zzz,2,describer,1,NA,NA,8
Mine looks like a guy bendi--mine looks kinda like a guy bending down,1,describer,1,NA,NA,9
Oh I see,2,matcher,2,NA,NA,9
Yes!,1,describer,3,NA,NA,9
Mine looks like a person who dropped their keys on the ground,2,describer,1,NA,NA,10
My person looks like he just dropped a penny and picked it up,1,describer,1,NA,NA,11
"oh, good!",2,matcher,2,NA,NA,11
"My person is diving into the pool, with their arms",2,describer,1,NA,NA,12
good job!,2,describer,2,NA,NA,12
Mine looks like a person swimming,2,describer,1,NA,NA,13
My person looks like they're swimming,1,describer,1,NA,NA,14
oh yeah!,2,matcher,2,NA,NA,14
My person is superman zzz,2,describer,1,NA,NA,15
My person looks like they're swimming at the end of the ocean,1,describer,1,NA,NA,16
Mine looks like a person jumping for joy,1,describer,1,NA,NA,17
Oh I love it that's a good description,2,matcher,2,NA,NA,17
Oh my person looks like we just did the best job and they're like yeah,2,describer,1,NA,NA,18
good job!,2,describer,2,NA,NA,18
Mine looks like they're jumping for joy because zzz,1,describer,1,NA,NA,19
Yeah!,2,matcher,2,NA,NA,19
My person is jumping up to catch something,2,describer,1,NA,NA,20
got it,1,matcher,2,NA,NA,20
Mine looks like a person raise mine looks like a person making their hands in like a triangle shape and and and their feet are apart,1,describer,1,NA,NA,21
Oh yeah they're like hold that bus,2,matcher,2,NA,NA,21
"that's okay.  I have a person saying wait for me, wait up!",2,describer,1,NA,NA,22
I love that person who is waiting for the bus,1,matcher,2,NA,NA,22
"Yeah, hold that bus!",2,describer,3,NA,NA,22
My person my person is waiting for the bus and the bus ran off so,1,describer,1,NA,NA,23
oh no!,2,matcher,2,NA,NA,23
"Good, yeah",2,matcher,3,NA,NA,23
"My person is running down the street saying here I am, here I am, here I am!",2,describer,1,NA,NA,24
Well mine looks like someone who's kneeling down maybe to do something on the ground,2,describer,1,NA,NA,25
My uh my person looks like they're sitting down on a bench,1,describer,1,NA,NA,26
Oh yeah!,2,matcher,2,NA,NA,26
that's a good description,2,matcher,3,NA,NA,26
Mine looks like a person who is sitting down for a quiet break,2,describer,1,NA,NA,27
Oh it's my turn wait for me but my person is quietly waiting for the bus on a bench,1,describer,1,NA,NA,28
Oh yeah!,2,matcher,2,NA,NA,28
they're early for it,2,matcher,3,NA,NA,28
Mine looks like someone's hungry and is like can I please have some more,2,describer,1,NA,NA,29
good job!,2,describer,2,NA,NA,29
Mine looks like mine looks like a monk,1,describer,1,NA,NA,30
oh yeah!,2,matcher,2,NA,NA,30
Mhm,1,describer,3,NA,NA,30
You're right with that monk,2,matcher,4,NA,NA,30
"My person, he does look like a monk, holding a bowl",2,describer,1,NA,NA,31
good job!,2,describer,2,NA,NA,31
My person looks like my person looks like it's it's a person who gives the flowers at zzz,1,describer,1,NA,NA,32
oh,2,matcher,2,NA,NA,32
Yeah holding something like that,2,matcher,3,NA,NA,32
Yeah,1,describer,4,NA,NA,32
Mine looks like a guy carrying a tray saying would you like some?,2,describer,1,NA,NA,33
"Yeah, these are funny!",2,describer,2,NA,NA,33
Mine looks like zzz a water for their dog,1,describer,1,NA,NA,34
Oh yeah!,2,matcher,2,NA,NA,34
good description!,2,matcher,3,NA,NA,34
What is your person,1,matcher,1,NA,NA,35
Oh yeah it's my turn isn't it? I have a person who's saying hey brought you some flowers,2,describer,2,NA,NA,35
"My person is holding my person is holding out out a bucket of flowers, they're holding the flowers and putting them down for for their garden",1,describer,1,NA,NA,36
oh yeah!,2,matcher,2,NA,NA,36
"OK, so you see the tangrams? Do you remember this?",2,describer,1,NA,NA,37
zzz,1,matcher,2,NA,NA,37
"OK, so mine looks like a guy with a little hat and he's going",2,describer,3,NA,NA,37
"Yeah, you got it!",2,describer,4,NA,NA,37
Mine looks like a person that's ready to eat something and waiting for someone give them food,1,describer,1,NA,NA,38
"OK, got it",2,matcher,2,NA,NA,38
OK now mine is the person who's leaning forward and holding his hands out,2,describer,1,NA,NA,39
I know I got it,1,matcher,2,NA,NA,39
Yeah?,2,describer,3,NA,NA,39
he's begging for food,1,matcher,4,NA,NA,39
yeah,2,describer,5,NA,NA,39
My person is holding out some water I mean holding out a pot of soup for anybody wants to get it,1,describer,1,NA,NA,40
"oh nice, yeah!",2,matcher,2,NA,NA,40
But now,3,matcher,1,NA,NA,41
Now,3,matcher,2,NA,NA,41
OK,4,describer,3,NA,NA,41
Now,3,matcher,4,NA,NA,41
What do you see two shapes together,4,describer,5,NA,NA,41
zzz,3,matcher,6,NA,NA,41
OK,4,describer,7,NA,NA,41
OK wait I see a person a running zzz all going that way,3,matcher,8,NA,NA,41
Does it look like a person on one standing on one leg,4,describer,9,NA,NA,41
Yeah he's standing on one leg,3,matcher,10,NA,NA,41
Yeah that's what it look like right,4,describer,11,NA,NA,41
So I'll pick it,3,matcher,12,NA,NA,41
Mhm,4,describer,13,NA,NA,41
Now I see a doggy standing on its legs and I see a person running into the blue box,3,describer,1,NA,NA,42
That's what you see in the blue box,4,matcher,2,NA,NA,42
Mhm,3,describer,3,NA,NA,42
Yes it does,4,matcher,4,NA,NA,42
What do you see now,4,describer,1,NA,NA,43
I see two triangles that that's holding up,3,matcher,2,NA,NA,43
That's all you see,4,describer,3,NA,NA,43
Yeah,3,matcher,4,NA,NA,43
What type of uh which one uh,4,describer,5,NA,NA,43
Describe the one on the left to me,4,describer,6,NA,NA,43
The guy that's running,3,matcher,7,NA,NA,43
Mhm describe that one to me,4,describer,8,NA,NA,43
I said describe you're not even listening I didn't say pick it,4,describer,9,NA,NA,43
Oh OK you wanted me to um,3,matcher,10,NA,NA,43
To tell me what it looks like,4,describer,11,NA,NA,43
